Дата,Направление,Тема,Что делала,Артефакты,Сложность,Время,Комментарий
2026-04-28,Алгоритмы,LeetCode 217: Contains Duplicate (разминка),"Решена задача на проверку дубликатов через HashSet (map[int]struct{}). O(n) time, O(n) space. Проверка наличия ДО добавления в map.",day_23/main.go,1,0.3ч,Разминка без тестов — моделируем собеседование
2026-04-28,Алгоритмы,LeetCode 560: Subarray Sum Equals K,"Решена задача на подмассивы с заданной суммой через Prefix Sum + HashMap. O(n) time, O(n) space. Ключевой инсайт: prefixSum-k в map даёт количество подходящих подмассивов.",day_23/main.go,3,2.5ч,Сначала разобрали через prefixSum массив, потом через totalSum+leftSum
2026-04-28,Алгоритмы,LeetCode 1480: Running Sum of 1d Array,"Решена задача на накопительную сумму. O(n) time, O(1) space (in-place). Ранний выход для len==1.",day_23/main.go,1,0.5ч,Оптимизация: без создания нового среза
2026-04-28,Алгоритмы,LeetCode 1732: Find the Highest Altitude,"Решена задача на максимальную высоту при изменении высоты. O(n) time, O(1) space. prefixSum + maxAltitude переменные.",day_23/main.go,1,0.5ч,Аналог runningSum, но ищем максимум вместо возврата среза
2026-04-28,Алгоритмы,LeetCode 724: Find Pivot Index,"Решена задача на индекс, где сумма слева = сумме справа. O(n) time, O(1) space через totalSum+leftSum. Также реализован через prefixSum массив (O(n) space).",day_23/main.go,2,1.5ч,Два подхода: через totalSum (лучше по памяти) и через prefixSum массив
2026-04-28,Математика,Khan Academy Unit 13: Triangle side lengths - Pythagorean theorem application,"Продолжение изучения теоремы Пифагора и её применения. Расчёт сторон треугольников, решение задач на расстояние.",Khan Academy,2,2ч,Перерыв ~2ч не включён в учёт времени
2026-04-28,Математика,Khan Academy Unit 13: Triangle side lengths - Pythagorean theorem application (continued),"Изучены темы: Use Pythagorean theorem to find perimeter, Use Pythagorean theorem to find area, Pythagorean theorem word problems. Закрепление применения теоремы Пифагора к геометрическим задачам.",Khan Academy,2,1.5ч,Завершение Unit 13. Перерыв ~2ч не включён в учёт времени
2025-03-26,Математика,Дроби: сложение/вычитание (разные знаменатели),Unit 13 на Khan Academy,day_3/main.go (задача на скорость загрузки),2,1.5ч,Правило: привести к НОЗ → сложить числители
2026-04-29,Алгоритмы,LeetCode 1: Two Sum (повторение),"Повторение задачи. One-pass HashMap: ищем complement в мапе, если нет - добавляем текущий элемент. O(n) time, O(n) space.",day_24/main.go,1,0.3ч,Разминка: вербализация + код. Ревью: 2026-05-06
2026-04-29,Алгоритмы,LeetCode 525: Contiguous Array,"Решена задача на поиск максимального подмассива с равным количеством 0 и 1. Prefix Sum паттерн: prefixSum-- для 0, prefixSum++ для 1. Когда prefixSum повторяется - количество нулей и единиц между точками равно. O(n) time, O(n) space.",day_24/main.go,3,1ч,Ключевой инсайт: превращаем в задачу на prefix sum
2025-03-26,Математика,Умножение/деление многозначных чисел,Unit 14 на Khan Academy,-,1,0.5ч,Вспомнила быстро
2026-04-29,Карточки,Go - повторение,"Повторила карточки по Go (Goroutines, Channels, Select, Mutex, WaitGroup, Context, Defer, errors, DI, Generics, Clean Architecture, Ports & Adapters, DDD). Интервальное повторение для закрепления в долговременной памяти.",Программирование Карточки.csv,1,0.6ч,Интервальное повторение
2026-04-29,Математика,Khan Academy Unit 13: Pythagorean theorem in 3D,"Изучено применение теоремы Пифагора в трёхмерном пространстве. Расчёт диагоналей прямоугольных призм, расстояний между точками в 3D.",Khan Academy,2,0.3ч,Завершение темы
2025-03-26,Математика,Деление дробей,Unit 15 на Khan Academy,day_3/main.go (расчёт времени загрузки),3,1ч,Перевернуть и умножить — не забывать!
2025-03-26,Математика,Умножение/деление десятичных дробей,Unit 16 на Khan Academy,-,2,1ч,Перемещать запятую — удобно
2025-03-26,Go,Практика: дроби в коде,Решила задачу на расчёт времени загрузки файла,day_3/main.go,2,1ч,Связала дроби с реальной задачей: ⅔ МБ/с
2025-03-26,Карточки,Go Concurrency,Повторила все 6 карточек,Программирование Карточки.csv,3,1ч,Goroutines/Channels/Select/Mutex/WaitGroup/Context — всё свежо в памяти
2025-04-03,Математика,Степени десяти и экспоненты,Unit 17 на Khan Academy,-,2,1ч,Связь с Big O: O(n²) vs O(10ⁿ)
2025-04-03,Математика,Сложение/вычитание отрицательных чисел,Unit 18 на Khan Academy,-,2,1ч,Правило: минус на минус = плюс
2025-04-03,Математика,Умножение/деление отрицательных чисел,Unit 19 на Khan Academy,-,2,1ч,Чётное количество минусов = плюс
2025-04-03,Математика,Курс Arithmetic — ЗАВЕРШЁН,Весь курс https://www.khanacademy.org/math/arithmetic,-,3,0.5ч,Фундамент математики готов!
2025-04-03,Карточки,Умножение,Повторила карточки по умножению,-,1,0.5ч,Быстро и уверенно
2025-04-03,Карточки,Go Concurrency,Повторила 6 карточек,Программирование Карточки.csv,2,1ч,Уже легче объяснять
2025-04-04,Карточки,Умножение + Go Concurrency,Повторила карточки по умножению и 6 карточек по Go,-,1,0.5ч,Утренняя рутина
2025-04-04,Go,Калькулятор дробей: TDD + Алгоритм Евклида,Разработка через тестирование (Red-Green-Refactor),day_4/main.go,4,3.75ч,Реализовала Fraction.Add() с тремя ветками: одинаковые знаменатели; кратные; общий случай через НОК. Сложность O(log n)
2025-04-04,Go,Go 1.21+ built-in functions + Skills,Исследовала max() и min() как builtin функции,.serena/skills/algorithms-mentor/SKILL.md,2,0.25ч,Добавлено в skills: версия Go 1.25.8; TDD методология; связь задач с алгоритмами
2025-04-04,Go,Калькулятор дробей: завершение (Subtract/Multiply/Divide),"Реализовала вычитание, умножение и деление дробей. Завершён полный калькулятор с 4 операциями.",day_4/main.go,3,1.5ч,"Subtract: приведение к общему знаменателю + вычитание. Multiply: числ*числ/знам*знам. Divide: умножение на перевернутую дробь. Все операции с автоматическим сокращением."
2025-04-04,Алгоритмы,LeetCode 1071: GCD of Strings,Начала решать задачу. Реализовала первый подход к алгоритму.,day_4/main.go (gcdOfStrings),4,3ч,Задача на применение Алгоритма Евклида для строк. Продолжу завтра.
2025-04-05,Алгоритмы,LeetCode 1071: GCD of Strings - РЕШЕНА,Применила Алгоритм Евклида для строк: проверка s+t==t+s + НОД длин,day_4/main.go,4,1.5ч,"Ключевой инсайт: если s+t == t+s, то есть общий делитель. НОД длин даёт длину ответа. Сложность O(log min(len(s), len(t)))."
2025-04-05,Алгоритмы,LeetCode 1979: GCD of Array - РЕШЕНА,НОД минимального и максимального числа в массиве. Использована стандартная библиотека slices.Min/Max,day_5/main.go,2,0.5ч,"Задача на применение Алгоритма Евклида. Поняла, что в условии просят НОД только min и max, а не всего массива."
2025-04-05,Алгоритмы,LeetCode 914: X of a Kind in a Deck of Cards - РЕШЕНА и ОПТИМИЗИРОВАНА,Применила Алгоритм Евклида для подсчёта частот карт. Убрала лишнюю сортировку; добавила ранний выход.,day_5/main.go (hasGroupsSizeX),3,1ч,"Поняла: нужно искать GCD всех частот; если GCD >= 2 → можно разделить. Оптимизация: len(deck) < 2 → false сразу."
2026-04-05,Алгоритмы,LeetCode 1447: Simplified Fractions - РЕШЕНА и ОПТИМИЗИРОВАНА,"Решила задачу поиска несократимых дробей. Применила Алгоритм Евклида для проверки взаимной простоты числителя и знаменателя. Оптимизировала производительность.",day_5/main.go (simplifiedFractions),3,1ч,"Оптимизации: strconv.Itoa вместо fmt.Sprintf, pre-allocation слайса make([]string, 0, n*n), упрощённое условие GCD == 1. Улучшение: с 14ms до ~6ms. Вложенные циклы: j от 2 до n, i от 1 до j-1."
2026-04-05,Алгоритмы,Практика распознавания паттернов GCD,"Провела анализ 5 решённых задач на алгоритм Евклида. Выделила паттерн: GCD нужен когда нужно разделить несколько величин поровну и найти максимальный размер части. Потренировалась на тестовых задачах X/Y/Z (LCM vs GCD). Записала правила в skills.",algorithms/patterns/gcd-recognition,3,1ч,"Ключевой инсайт: GCD = наибольший общий делитель (что помещается ВНУТРЬ), LCM = наименьшее общее кратное (где встречаются СНАРУЖИ). Формула: LCM(a,b) = (a×b)/GCD(a,b)"
2026-04-05,Математика,Basic Geometry - Unit 1: Intro to area and perimeter,"Пройден первый юнит Khan Academy. Темы: площадь и периметр прямоугольников, квадратов, треугольников. Формулы: A = l×w, P = 2×(l+w).",Khan Academy,2,2ч,"Восстановление базовой геометрии. Идёт не очень трудно, но требуется восстановление памяти. Перерыв ~43 минуты не включён в время учёбы."
2026-04-06,Go,Конвертер температур: C→F и F→C,"Реализовала конвертацию температур с округлением до 1 знака. TDD: 8 тестов (включая edge case с большими числами). Закрепила работу с float64, отрицательными числами и проблемой точности.",day_6/main.go,2,1.25ч,"Использовано math.Round для решения проблемы float precision (7 != 7.000000000000001). Break ~43 минуты не включён."
2026-04-06,Go,Конвертер валют: RUB↔USD,"Реализовала двустороннюю конвертацию валют с использованием целочисленных копеек/центов для избежания float-ошибок. TDD: 5 тестов. RUBUSD: rub,kopeck→dollars,cents. USDRUB: dollars,cents→rub,kopeck с обратным курсом.",day_6/main.go,3,2ч,"Обратный курс: rate=0.012 означает долларов за рубль. Избегаем float-ошибок финансов через целочисленную арифметику + округление."
2026-04-06,Алгоритмы,LeetCode 168: Excel Sheet Column Title,"Реализовала конвертацию числа в Excel-заголовок колонки (1→A, 27→AA, 703→AAA). Использован алгоритм деления с остатком (вариация Евклида) с корректировкой для остатка 0 (Z). TDD: 9 тестов.",day_6/main.go,3,2.75ч,"Ключевой инсайт: остаток 0 → буква Z, quotient--. Алгоритм Евклида применяется не только для GCD, но и для систем счисления (27-ричная без нуля)."
2026-04-06 18:47:41  # TASK_COMPLETE: LeetCode 168 - Excel Sheet Column Title
2026-04-06,Алгоритмы,LeetCode 171: Excel Sheet Column Number,Реализовала обратную конвертацию Excel-заголовка в число (A→1, AA→27, ZY→701). Использован base-26 алгоритм: result = result*26 + текущая_цифра. TDD: 10 тестов.,day_6/main.go,2,1.5ч,Прямой алгоритм без специальных случаев — цикл работает для всех длин строк. Связь с задачей 168: обратная операция.
2026-04-06,Алгоритмы,Исправление: LeetCode 171 - не Евклид,В задаче 171 (Excel Sheet Column Number) используется прямая конвертация системы счисления (умножение*26 + сложение), а не алгоритм Евклида. Евклид использовался только в 168 (деление с остатком). Это важное различие для понимания.,day_6/main.go,1,0.1ч,Алгоритм Евклида = деление с остатком (обратная конвертация). Прямая конвертация = умножение + сложение (обычная арифметика).
2026-04-07,Алгоритмы,LeetCode 504: Base 7,Реализовала конвертацию целого числа в 7-ричную систему счисления (100→202, -15→-21). Использован алгоритм Евклида (деление с остатком) с обработкой отрицательных чисел.,day_8/main.go,2,1.5ч,Отрицательные числа требуют специальной обработки: работаем с модулем, затем добавляем минус. TDD: 6 тестов (включая 0 и отрицательные).
2026-04-07,Карточки,Generics,Переработана карточка #10. Сформулирован ответ о Generics: типобезопасные шаблоны для работы с любыми типами. Пример из проекта — generic-функция post для HTTP-драйвера.,card_preference/methodology,2,1.5ч,Структура ответа: определение → объяснение механизма → пример из проекта → польза.
2026-04-07,Алгоритмы,LeetCode 504: Base 7 (завершение),Задача решена ранее. Переход к LeetCode 405.,day_8/main.go,2,0.5ч,Переход к следующей задаче после карточек.
2026-04-07,Алгоритмы,LeetCode 405: Convert a Number to Hexadecimal,Реализовала конвертацию целого числа в 16-ричную систему (26→1a, -1→ffffffff). Использован two's complement для отрицательных чисел (uint32). TDD: 3 теста.,day_8/main.go,2,1ч,Алгоритм Евклида (деление с остатком) + two's complement. Оптимизация: rune slice + string(s) вместо builder.
2026-04-07,Математика,Khan Academy: Basic Geometry,Завершены Unit 2 (mass/volume) и Unit 3 (measuring angles). Начат Unit 4 (plane figures).,Khan Academy,2,2ч,Продолжаем геометрию. План: завтра LeetCode 12 - Integer to Roman.
2026-04-08,Алгоритмы,LeetCode 12: Integer to Roman,"Реализовала конвертацию целого числа в римскую запись. Использован greedy algorithm с предварительно заданными значениями. TDD: прошла от базовых случаев (1,2,3) до сложных с вычитанием (4,9,40,90,400,900). Оптимизации: strings.Builder с Grow(15), доступ по индексу.",day_9/main.go,3,2.5ч,"Greedy algorithm: всегда берём максимально возможный 'кусок'. Структура RomanNumeral{Value, Symbol}. Сложность O(1) — фиксированное количество итераций."
2026-04-08,Алгоритмы,LeetCode 122: Best Time to Buy and Sell Stock II,"Реализовала подсчёт максимальной прибыли при неограниченном количестве сделок. Greedy: собираем все положительные разницы между соседними днями. TDD: 13 тестов (включая edge cases).",day_9/main.go,2,1ч,"Greedy algorithm: if prices[i] > prices[i-1] → profit += diff. Сложность O(n) время, O(1) память. Покрытие тестов: empty, single, two elements, zigzag, strictly inc/dec, flat."
2026-04-08,Алгоритмы,LeetCode 860: Lemonade Change,"Реализовала проверку возможности давать сдачу клиентам лимонада. Greedy: при получении $20 отдаём $10+$5 (экономим пятёрки), иначе три $5. TDD: 17 тестов.",day_9/main.go,2,1.5ч,"Greedy algorithm: всегда отдаём сдачу оптимально — $10+$5 вместо трёх $5. Две переменные five, ten вместо map. Сложность O(n) время, O(1) память."
2026-04-08,Алгоритмы,LeetCode 455: Assign Cookies,"Реализовала распределение печенек детям с помощью greedy algorithm. Два указателя на отсортированных массивах. TDD: от brute-force до two-pointer оптимизации.",day_9/main.go,2,1ч,"Greedy: сортируем оба массива, даём самую маленькую подходящую печеньку. Сложность O(n log n) из-за сортировки, O(1) доп. память."
2026-04-08,Математика,Khan Academy: Basic Geometry - Unit 4-6,"Завершены Unit 4 (Plane figures), Unit 5 (Units of measurement), Unit 6 (Volume). Изучены плоские фигуры, единицы измерения, объём.",Khan Academy,2,2.5ч,"Продолжение геометрии после арифметики. Плоские фигуры: периметр, площадь. Объём: прямоугольные призмы, цилиндры. Перерыв ~33 минуты не включён."
2026-04-09,Алгоритмы,LeetCode 55: Jump Game,"Реализовала проверку возможности достичь последнего индекса массива. Greedy: отслеживаем maxReach — максимальную позицию, до которой можно добраться. TDD: от простых случаев до корректного greedy.",day_10/main.go,3,2.5ч,"Greedy algorithm: maxReach = max(maxReach, i + nums[i]). Проверка достижимости: if i > maxReach → false. Ранний выход: if maxReach >= len(nums)-1 → true. Перерыв ~1.5ч не включён."
2026-04-09,Алгоритмы,VK Education: Списывание в школе,"Реализовала перемещение всех нулей в конец массива. In-place алгоритм с двумя указателями (чтение и запись). TDD на Go, затем перевод на C++ для сдачи в VK All Cups.",day_10/main.go,2,2.5ч,"Two pointers: read идёт по всему массиву, write указывает куда писать ненулевые. После перемещения заполняем хвост нулями. Сложность O(n) время, O(1) память."
2026-04-09,Алгоритмы,VK Education: Очистка эксперимента,"Реализовала удаление всех вхождений элемента из массива. In-place алгоритм: читаем size+1 элементов (последний - element), фильтруем массив, выводим без удалённых элементов. TDD на Go, затем перевод на C++ для сдачи в VK All Cups (принято платформой).",day_10/main.go,2,1ч,"Two pointers: фильтрация массива без дополнительной памяти. Сложность O(n) время, O(1) память."
2026-04-10,Алгоритмы,VK Education: Слияние двух отсортированных массивов,"Реализовала функцию merge двух отсортированных массивов в третий отсортированный. Two-pointer алгоритм: сравниваем элементы, меньший кладём в результат, двигаем указатель. Остатки копируем через built-in copy(). TDD: 7 тестов (включая пустые массивы и дубликаты).",day_11/main.go,2,2.5ч,"Сложность O(n+m) время, O(n+m) память под результат. Убраны лишние проверки — алгоритм корректно работает с пустыми входами. Оптимизация: copy() вместо slices.Concat для остатков."
2026-04-10,Алгоритмы,VK Education: Rock'n'Run - Максимальное количество очков,"Реализовала поиск максимума в массиве. Простой линейный проход с отслеживанием текущего максимума. TDD: 6 тестов (включая отрицательные числа, один элемент, пустой массив). Перевод на C++ и отправка в VK All Cups.",day_11/main.go,1,1.25ч,"Сложность O(n) время, O(1) доп. память. Рефакторинг: упростила two-pointer до обычного цикла. Перевод на C++: vector<int>, cin/cout."
2026-04-10,Карточки,"Clean Architecture","Переработала карточку #11. Определение, механизм (порты/адаптеры, инверсия зависимостей), пример из RAG-проекта (BM25, RagEngine, QdrantStore/OllamaEmbedder), практическая польза (тестирование, гибкость, локализация ошибок).",Программирование Карточки.csv,2,1ч,Ответ переработан: разговорный стиль, пример из проекта, структура соблюдена
2026-04-10,Карточки,Anki - повторение,"Повторила переработанные карточки (Goroutines, Channels, Select, Mutex, WaitGroup, Context, Graceful Shutdown, errors.Is/errors.As, DI, Generics, Clean Architecture) в Anki.",Программирование Карточки.csv,1,1ч,Интервальное повторение для закрепления материала
2026-04-11,Алгоритмы,LeetCode 485: Max Consecutive Ones,"Реализовала поиск максимальной серии единиц в бинарном массиве. Линейный проход с подсчётом текущей серии и обновлением максимума. TDD: 9 тестов (включая edge cases: все единицы, все нули, один элемент, серии в начале/конце).",day_12/main.go,1,0.5ч,"Простой one-pass алгоритм. Сложность O(n) время, O(1) память. 9 тестов покрывают все edge cases."
2026-04-11,Алгоритмы,LeetCode 1470: Shuffle the Array,"Реализовала перемешивание массива — чередование элементов из двух половин. Один проход, запись по индексам 2*i и 2*i+1. TDD: 6 тестов (включая n=1, одинаковые элементы).",day_12/main.go,1,0.5ч,"Простой O(n) time, O(n) space. Рефакторинг: убрала count, используем 2*i напрямую."
2026-04-11,Карточки,Anki - повторение,"Повторила переработанные карточки (11 штук) в Anki.",Программирование Карточки.csv,1,0.25ч,Интервальное повторение с телефона
2026-04-12,Алгоритмы,LeetCode 21: Merge Two Sorted Lists,"Решена задача слияния двух отсортированных связных списков. Two-pointer merge с dummy node. TDD: 11 тестов (edge cases: пустые списки, дубликаты, отрицательные, один элемент).",day_13/main.go,2,2.5ч,"Сложность O(n+m) время, O(1) доп. память (переиспользуем узлы). Dummy node упрощает логику — не нужен отдельный код для первого элемента."
2026-04-12,Алгоритмы,LeetCode 2206: Divide Array Into Equal Pairs,"Решена задача проверки возможности разбиения массива на пары равных элементов. Frequency counter через map. TDD: 13 тестов (edge cases: пустой массив, все чётные/нечётные частоты, отрицательные, большие числа).",day_13/main.go,2,1.5ч,"Сложность O(n) время, O(n) память. Ключевая проверка: все частоты должны быть чётными (v%2==0)."
